local_stable_id,stable_id,inode,volume,parent_local_stable_id,local_filename,cloud_filename,local_mtime_ms,cloud_mtime_ms,local_md5_checksum,cloud_md5_checksum,local_size,cloud_size,local_type,cloud_type,local_version,cloud_version,storage_policy,shared,read_only,target_version,is_root
1140,2661,281474976832517,87abe2a8-0000-0000-0000-300300000000,1047,XYplorer.tkape,XYplorer.tkape,1730221683031,1730221683031,cdf1013219b309b9df61621d44e8df54,cdf1013219b309b9df61621d44e8df54,2731,2731,1,1,1,1,0,0,0,,0
1141,2663,281474976832507,87abe2a8-0000-0000-0000-300300000000,1047,VirtualBoxConfig.tkape,VirtualBoxConfig.tkape,1730221682205,1730221682205,e90ae70ec3946e94440e8f5725c6fd05,e90ae70ec3946e94440e8f5725c6fd05,608,608,1,1,1,1,0,0,0,,0
1142,2665,281474976832513,87abe2a8-0000-0000-0000-300300000000,1047,VNCLogs.tkape,VNCLogs.tkape,1730221682707,1730221682707,a73536e128adf091ab6ec13e4d00362e,a73536e128adf091ab6ec13e4d00362e,778,778,1,1,1,1,0,0,0,,0
1143,2667,281474976832512,87abe2a8-0000-0000-0000-300300000000,1047,VMwareMemory.tkape,VMwareMemory.tkape,1730221682610,1730221682610,39de8b9917e8779796632750f437418e,39de8b9917e8779796632750f437418e,1099,1099,1,1,1,1,0,0,0,,0
1144,2669,281474976832514,87abe2a8-0000-0000-0000-300300000000,1047,WhatsApp.tkape,WhatsApp.tkape,1730221682800,1730221682800,d47628dcaae67ed6eb08055e709e898a,d47628dcaae67ed6eb08055e709e898a,1351,1351,1,1,1,1,0,0,0,,0
1145,2671,281474976832516,87abe2a8-0000-0000-0000-300300000000,1047,WinSCP.tkape,WinSCP.tkape,1730221682945,1730221682945,16bc90df17dbb710edc0634eb7597b16,16bc90df17dbb710edc0634eb7597b16,637,637,1,1,1,1,0,0,0,,0
1146,2673,281474976832508,87abe2a8-0000-0000-0000-300300000000,1047,VirtualBoxLogs.tkape,VirtualBoxLogs.tkape,1730221682273,1730221682273,cc1584900211ec6061d36c1c63afd5f7,cc1584900211ec6061d36c1c63afd5f7,806,806,1,1,1,1,0,0,0,,0
1147,2675,281474976832510,87abe2a8-0000-0000-0000-300300000000,1047,VLC Media Player.tkape,VLC Media Player.tkape,1730221682404,1730221682404,2c05a4bda7a04db893b0b417b397c37f,2c05a4bda7a04db893b0b417b397c37f,1003,1003,1,1,1,1,0,0,0,,0
1148,2677,281474976832519,87abe2a8-0000-0000-0000-300300000000,1047,Zoom.tkape,Zoom.tkape,1730221683096,1730221683096,eb09607e775bcd437a3dda69b0118f35,eb09607e775bcd437a3dda69b0118f35,1415,1415,1,1,1,1,0,0,0,,0
1149,2679,281474976832511,87abe2a8-0000-0000-0000-300300000000,1047,VMwareInventory.tkape,VMwareInventory.tkape,1730221682488,1730221682488,c607be935bb81613ffa4768d65438048,c607be935bb81613ffa4768d65438048,1074,1074,1,1,1,1,0,0,0,,0
1150,2681,281474976832509,87abe2a8-0000-0000-0000-300300000000,1047,VirtualBoxMemory.tkape,VirtualBoxMemory.tkape,1730221682329,1730221682329,3b8c67f8105e7c891e5a1b32b52fd205,3b8c67f8105e7c891e5a1b32b52fd205,762,762,1,1,1,1,0,0,0,,0
1151,2683,281474976832520,87abe2a8-0000-0000-0000-300300000000,1002,Browsers,Browsers,1730221684104,1730221683112,,,4096,0,0,0,1,1,2,0,0,,0
1152,2685,281474976832521,87abe2a8-0000-0000-0000-300300000000,1151,BraveBrowser.tkape,BraveBrowser.tkape,1730221683173,1730221683173,5ba41a9b763360f090ee9d29a909e0cc,5ba41a9b763360f090ee9d29a909e0cc,4405,4405,1,1,2,1,0,0,0,,0
1153,2687,281474976832524,87abe2a8-0000-0000-0000-300300000000,1151,ChromeExtensions.tkape,ChromeExtensions.tkape,1730221683404,1730221683404,9994f77a00d6b6de7b29ac7994591eb6,9994f77a00d6b6de7b29ac7994591eb6,569,569,1,1,1,1,0,0,0,,0
1154,2689,281474976832522,87abe2a8-0000-0000-0000-300300000000,1151,BrowserCache.tkape,BrowserCache.tkape,1730221683244,1730221683244,ec42e50f00f2c4331d9f58f8384521c3,ec42e50f00f2c4331d9f58f8384521c3,1595,1595,1,1,1,1,0,0,0,,0
1155,2691,281474976832528,87abe2a8-0000-0000-0000-300300000000,1151,Firefox.tkape,Firefox.tkape,1730221683752,1730221683752,71e7276817c9b07bc8f8f34124656bb6,71e7276817c9b07bc8f8f34124656bb6,6721,6721,1,1,1,1,0,0,0,,0
1156,2693,281474976832523,87abe2a8-0000-0000-0000-300300000000,1151,Chrome.tkape,Chrome.tkape,1730221683317,1730221683317,67ef395aebf3f05a2d9c2740a857bbd4,67ef395aebf3f05a2d9c2740a857bbd4,8569,8569,1,1,1,1,0,0,0,,0
1157,2695,281474976832526,87abe2a8-0000-0000-0000-300300000000,1151,Edge.tkape,Edge.tkape,1730221683567,1730221683567,9aae688a205eb7199f999cbba46376da,9aae688a205eb7199f999cbba46376da,378,378,1,1,1,1,0,0,0,,0
1158,2697,281474976832529,87abe2a8-0000-0000-0000-300300000000,1151,InternetExplorer.tkape,InternetExplorer.tkape,1730221683862,1730221683862,82cee7fef8008e4e1bd6422f3319ed11,82cee7fef8008e4e1bd6422f3319ed11,2877,2877,1,1,1,1,0,0,0,,0
1159,2699,281474976832525,87abe2a8-0000-0000-0000-300300000000,1151,ChromeFileSystem.tkape,ChromeFileSystem.tkape,1730221683494,1730221683494,4664669b1f0021f64b1c8a17c29bc458,4664669b1f0021f64b1c8a17c29bc458,371,371,1,1,1,1,0,0,0,,0
1160,2701,281474976832527,87abe2a8-0000-0000-0000-300300000000,1151,EdgeChromium.tkape,EdgeChromium.tkape,1730221683662,1730221683662,fc61ef8a17cb215bc487a80a5ca79702,fc61ef8a17cb215bc487a80a5ca79702,4760,4760,1,1,1,1,0,0,0,,0
1161,2703,281474976832531,87abe2a8-0000-0000-0000-300300000000,1151,PuffinSecureBrowser.tkape,PuffinSecureBrowser.tkape,1730221684162,1730221684162,b2e9af2376f7ee94bc9f8a5a0267272a,b2e9af2376f7ee94bc9f8a5a0267272a,2936,2936,1,1,1,1,0,0,0,,0
1162,2705,281474976832530,87abe2a8-0000-0000-0000-300300000000,1151,Opera.tkape,Opera.tkape,1730221684098,1730221684098,c9e21b4a7fe6a6f75bbe7ad2f18944b3,c9e21b4a7fe6a6f75bbe7ad2f18944b3,1438,1438,1,1,1,1,0,0,0,,0
1163,2707,281474976832532,87abe2a8-0000-0000-0000-300300000000,1002,Compound,Compound,1730221686753,1730221685114,,,12288,0,0,0,1,1,2,0,0,,0
1164,2709,281474976832540,87abe2a8-0000-0000-0000-300300000000,1163,EvidenceOfExecution.tkape,EvidenceOfExecution.tkape,1730221685097,1730221685097,28fd83058fa7ff525297659e2b6a6127,28fd83058fa7ff525297659e2b6a6127,796,796,1,1,1,1,0,0,0,,0
1165,2711,281474976832535,87abe2a8-0000-0000-0000-300300000000,1163,Antivirus.tkape,Antivirus.tkape,1730221684618,1730221684618,c9b292c99a6777b4e859faf5ab7c0ee0,c9b292c99a6777b4e859faf5ab7c0ee0,2654,2654,1,1,1,1,0,0,0,,0
1166,2713,281474976832538,87abe2a8-0000-0000-0000-300300000000,1163,CloudStorage_OneDriveExplorer.tkape,CloudStorage_OneDriveExplorer.tkape,1730221684967,1730221684967,dd9db24862b333c3bd1b3a4b8cd5d108,dd9db24862b333c3bd1b3a4b8cd5d108,517,517,1,1,1,1,0,0,0,,0
1167,2715,281474976832537,87abe2a8-0000-0000-0000-300300000000,1163,CloudStorage_Metadata.tkape,CloudStorage_Metadata.tkape,1730221684817,1730221684817,7cb0bfaeb4fc98575bcfea8c66a785dd,7cb0bfaeb4fc98575bcfea8c66a785dd,983,983,1,1,1,1,0,0,0,,0
1168,2717,281474976832534,87abe2a8-0000-0000-0000-300300000000,1163,!SANS_Triage.tkape,!SANS_Triage.tkape,1730221684475,1730221684475,9878617047bcda0697d89e0016d4c104,9878617047bcda0697d89e0016d4c104,2741,2741,1,1,1,1,0,0,0,,0
1169,2719,281474976832541,87abe2a8-0000-0000-0000-300300000000,1163,Exchange.tkape,Exchange.tkape,1730221685183,1730221685183,b907cf88bbbe733bb6b93d254f240961,b907cf88bbbe733bb6b93d254f240961,399,399,1,1,1,1,0,0,0,,0
1170,2721,281474976832539,87abe2a8-0000-0000-0000-300300000000,1163,CombinedLogs.tkape,CombinedLogs.tkape,1730221685048,1730221685048,15feca2c1473353b39109efc6634da59,15feca2c1473353b39109efc6634da59,823,823,1,1,1,1,0,0,0,,0
1171,2723,281474976832533,87abe2a8-0000-0000-0000-300300000000,1163,!BasicCollection.tkape,!BasicCollection.tkape,1730221684375,1730221684375,3a4b3f81b34cf8cb6b441ae7b79d12d5,3a4b3f81b34cf8cb6b441ae7b79d12d5,1349,1349,1,1,1,1,0,0,0,,0
1172,2725,281474976832536,87abe2a8-0000-0000-0000-300300000000,1163,CloudStorage_All.tkape,CloudStorage_All.tkape,1730221684710,1730221684710,f27158f0535ab96be487b8a0fa60cb37,f27158f0535ab96be487b8a0fa60cb37,1606,1606,1,1,1,1,0,0,0,,0
1173,2727,281474976832546,87abe2a8-0000-0000-0000-300300000000,1163,IRCClients.tkape,IRCClients.tkape,1730221685491,1730221685491,faf4df2b7fd310816843770e9a089d66,faf4df2b7fd310816843770e9a089d66,825,825,1,1,1,1,0,0,0,,0
1174,2729,281474976832554,87abe2a8-0000-0000-0000-300300000000,1163,ServerTriage.tkape,ServerTriage.tkape,1730221686100,1730221686100,99eff8fde90f52d36d88c7c82b8c1157,99eff8fde90f52d36d88c7c82b8c1157,847,847,1,1,1,1,0,0,0,,0
1175,2731,281474976832551,87abe2a8-0000-0000-0000-300300000000,1163,RecycleBin.tkape,RecycleBin.tkape,1730221685912,1730221685912,b65cbfbf12897de286cb17c51392879c,b65cbfbf12897de286cb17c51392879c,413,413,1,1,1,1,0,0,0,,0
1176,2733,281474976832543,87abe2a8-0000-0000-0000-300300000000,1163,FileExplorerReplacements.tkape,FileExplorerReplacements.tkape,1730221685259,1730221685259,324089fe9016efbabd8ffc10f6816ba9,324089fe9016efbabd8ffc10f6816ba9,1915,1915,1,1,1,1,0,0,0,,0
1177,2735,281474976832550,87abe2a8-0000-0000-0000-300300000000,1163,P2PClients.tkape,P2PClients.tkape,1730221685850,1730221685850,4204a9b8a966ed09e5933e1b970f41b2,4204a9b8a966ed09e5933e1b970f41b2,987,987,1,1,1,1,0,0,0,,0
1178,2737,281474976832544,87abe2a8-0000-0000-0000-300300000000,1163,FileSystem.tkape,FileSystem.tkape,1730221685324,1730221685324,b52edf7bb6fd240d9e9500aa5466d764,b52edf7bb6fd240d9e9500aa5466d764,645,645,1,1,1,1,0,0,0,,0
1179,2739,281474976832549,87abe2a8-0000-0000-0000-300300000000,1163,MiniTimelineCollection.tkape,MiniTimelineCollection.tkape,1730221685789,1730221685789,b0a5d414239c1bb41dad699f28ef3451,b0a5d414239c1bb41dad699f28ef3451,482,482,1,1,1,1,0,0,0,,0
1180,2741,281474976832555,87abe2a8-0000-0000-0000-300300000000,1163,SOFELK.tkape,SOFELK.tkape,1730221686176,1730221686176,15e87d80613aad72f944d772bbff6ded,15e87d80613aad72f944d772bbff6ded,824,824,1,1,1,1,0,0,0,,0
1181,2743,281474976832553,87abe2a8-0000-0000-0000-300300000000,1163,RemoteAdmin.tkape,RemoteAdmin.tkape,1730221686043,1730221686043,e36df7f6011a5245d99fd2eda428aad7,e36df7f6011a5245d99fd2eda428aad7,2464,2464,1,1,1,1,0,0,0,,0
1182,2745,281474976832552,87abe2a8-0000-0000-0000-300300000000,1163,RegistryHives.tkape,RegistryHives.tkape,1730221685960,1730221685960,c4dd836ec3472a1b0d69738784444dfd,c4dd836ec3472a1b0d69738784444dfd,991,991,1,1,1,1,0,0,0,,0
1183,2747,281474976832547,87abe2a8-0000-0000-0000-300300000000,1163,KapeTriage.tkape,KapeTriage.tkape,1730221685602,1730221685602,fda7a690553d47fc08faf600028739ec,fda7a690553d47fc08faf600028739ec,1894,1894,1,1,1,1,0,0,0,,0
1184,2749,281474976832545,87abe2a8-0000-0000-0000-300300000000,1163,FTPClients.tkape,FTPClients.tkape,1730221685400,1730221685400,d3f81d68acf43e0f57d32fb280a21a73,d3f81d68acf43e0f57d32fb280a21a73,941,941,1,1,1,1,0,0,0,,0
1185,2751,281474976832548,87abe2a8-0000-0000-0000-300300000000,1163,MessagingClients.tkape,MessagingClients.tkape,1730221685711,1730221685711,18b0f2e130c81046615a18d1f4bc85c4,18b0f2e130c81046615a18d1f4bc85c4,1586,1586,1,1,1,1,0,0,0,,0
1186,2753,281474976832558,87abe2a8-0000-0000-0000-300300000000,1163,USBDetective.tkape,USBDetective.tkape,1730221686420,1730221686420,185b1e378c4401996b92909bd3903732,185b1e378c4401996b92909bd3903732,782,782,1,1,1,1,0,0,0,,0
1187,2755,281474976832563,87abe2a8-0000-0000-0000-300300000000,1163,WebServers.tkape,WebServers.tkape,1730221686745,1730221686745,34b3c1794063911ef7b86a2cc92c315c,34b3c1794063911ef7b86a2cc92c315c,716,716,1,1,1,1,0,0,0,,0
1188,2757,281474976832565,87abe2a8-0000-0000-0000-300300000000,1163,WSL.tkape,WSL.tkape,1730221686785,1730221686785,ee5618ab6604d461fb722c8975acf935,ee5618ab6604d461fb722c8975acf935,606,606,1,1,1,1,0,0,0,,0
1189,2759,281474976832562,87abe2a8-0000-0000-0000-300300000000,1163,WebBrowsers.tkape,WebBrowsers.tkape,1730221686700,1730221686700,e2e1d09d6d9473ebf42e5a90d35a5262,e2e1d09d6d9473ebf42e5a90d35a5262,1341,1341,1,1,1,1,0,0,0,,0
1190,2761,281474976832556,87abe2a8-0000-0000-0000-300300000000,1163,SQLiteDatabases.tkape,SQLiteDatabases.tkape,1730221686290,1730221686290,86348af591f8d0754940b1e3fd7b7c7c,86348af591f8d0754940b1e3fd7b7c7c,22598,22598,1,1,1,1,0,0,0,,0
1191,2763,281474976832557,87abe2a8-0000-0000-0000-300300000000,1163,TorrentClients.tkape,TorrentClients.tkape,1730221686352,1730221686352,01e8d18b6110275846ecbf1b22571f9d,01e8d18b6110275846ecbf1b22571f9d,836,836,1,1,1,1,0,0,0,,0
1192,2765,281474976832559,87abe2a8-0000-0000-0000-300300000000,1163,UsenetClients.tkape,UsenetClients.tkape,1730221686504,1730221686504,0ddcd7f16e6a85a3b358c112ba3e9106,0ddcd7f16e6a85a3b358c112ba3e9106,918,918,1,1,1,1,0,0,0,,0
1193,2767,281474976832560,87abe2a8-0000-0000-0000-300300000000,1163,VirtualBox.tkape,VirtualBox.tkape,1730221686555,1730221686555,1fffc141879a44095dc729456cea0ff8,1fffc141879a44095dc729456cea0ff8,627,627,1,1,1,1,0,0,0,,0
1194,2769,281474976832561,87abe2a8-0000-0000-0000-300300000000,1163,VMware.tkape,VMware.tkape,1730221686620,1730221686620,b2c21ac6f97072ca2b7b6bcb4389f097,b2c21ac6f97072ca2b7b6bcb4389f097,514,514,1,1,1,1,0,0,0,,0
1195,2771,281474976832566,87abe2a8-0000-0000-0000-300300000000,1002,Logs,Logs,1730221687160,1730221687160,,,4096,0,0,0,1,1,2,0,0,,0
1196,2773,281474976832569,87abe2a8-0000-0000-0000-300300000000,1195,ManageEngineLogs.tkape,ManageEngineLogs.tkape,1730221687003,1730221687003,ec46451e1fa09f313e2cc0e4d77b985a,ec46451e1fa09f313e2cc0e4d77b985a,353,353,1,1,1,1,0,0,0,,0
1197,2775,281474976832568,87abe2a8-0000-0000-0000-300300000000,1195,IISLogFiles.tkape,IISLogFiles.tkape,1730221686932,1730221686932,a45488cb617263604b2ec2858671ae1a,a45488cb617263604b2ec2858671ae1a,886,886,1,1,1,1,0,0,0,,0
1198,2777,281474976832567,87abe2a8-0000-0000-0000-300300000000,1195,ApacheAccessLog.tkape,ApacheAccessLog.tkape,1730221686863,1730221686863,5ece1037506bdcd2f9282f06dc222d93,5ece1037506bdcd2f9282f06dc222d93,306,306,1,1,1,1,0,0,0,,0
1199,2779,281474976832570,87abe2a8-0000-0000-0000-300300000000,1195,MSSQLErrorLog.tkape,MSSQLErrorLog.tkape,1730221687080,1730221687080,b376a3bfefeac6c56a7ade906e8bafcc,b376a3bfefeac6c56a7ade906e8bafcc,491,491,1,1,1,1,0,0,0,,0
1200,2781,281474976832571,87abe2a8-0000-0000-0000-300300000000,1195,NGINXLogs.tkape,NGINXLogs.tkape,1730221687151,1730221687151,2966fe72f8443515f23fd200c160ce22,2966fe72f8443515f23fd200c160ce22,276,276,1,1,1,1,0,0,0,,0
1201,2783,281474976832572,87abe2a8-0000-0000-0000-300300000000,1195,PowerShellConsole.tkape,PowerShellConsole.tkape,1730221687207,1730221687207,957d9f3c51e1a423cbde7d7b2be3dde8,957d9f3c51e1a423cbde7d7b2be3dde8,661,661,1,1,1,1,0,0,0,,0
1202,2785,281474976832573,87abe2a8-0000-0000-0000-300300000000,1002,P2P,P2P,1730221688220,1730221688155,,,4096,0,0,0,1,1,2,0,0,,0
1203,2787,281474976832581,87abe2a8-0000-0000-0000-300300000000,1202,Nicotine++.tkape,Nicotine++.tkape,1730221687786,1730221687786,e5a631d21845d7d4ed39b42878118222,e5a631d21845d7d4ed39b42878118222,3617,3617,1,1,1,1,0,0,0,,0
1204,2789,281474976832578,87abe2a8-0000-0000-0000-300300000000,1202,Gigatribe.tkape,Gigatribe.tkape,1730221687604,1730221687604,8d129e6e981f7575b1d0309c75ec8d34,8d129e6e981f7575b1d0309c75ec8d34,1202,1202,1,1,1,1,0,0,0,,0
1205,2791,281474976832583,87abe2a8-0000-0000-0000-300300000000,1202,qBittorrent.tkape,qBittorrent.tkape,1730221687912,1730221687912,4799eebdc36cca403c3ac0173e162573,4799eebdc36cca403c3ac0173e162573,546,546,1,1,1,1,0,0,0,,0
1206,2793,281474976832580,87abe2a8-0000-0000-0000-300300000000,1202,Newsleecher.tkape,Newsleecher.tkape,1730221687709,1730221687709,c8733daeb1eac8444ebeb43bae6f73db,c8733daeb1eac8444ebeb43bae6f73db,577,577,1,1,1,1,0,0,0,,0
1207,2795,281474976832574,87abe2a8-0000-0000-0000-300300000000,1202,BitTorrent.tkape,BitTorrent.tkape,1730221687326,1730221687326,a4ebf896bae73821e9d05f8e03b4b23a,a4ebf896bae73821e9d05f8e03b4b23a,706,706,1,1,1,1,0,0,0,,0
1208,2797,281474976832582,87abe2a8-0000-0000-0000-300300000000,1202,NZBGet.tkape,NZBGet.tkape,1730221687838,1730221687838,ec1d23dddbf97c05ca20bfeda1a8b2a5,ec1d23dddbf97c05ca20bfeda1a8b2a5,816,816,1,1,1,1,0,0,0,,0
1209,2799,281474976832577,87abe2a8-0000-0000-0000-300300000000,1202,FrostWire.tkape,FrostWire.tkape,1730221687542,1730221687542,cf136a582961efd81ac981010ba88059,cf136a582961efd81ac981010ba88059,1783,1783,1,1,1,1,0,0,0,,0
1210,2801,281474976832585,87abe2a8-0000-0000-0000-300300000000,1202,Shareaza.tkape,Shareaza.tkape,1730221688016,1730221688016,858c15c555f4e09054e62856add51dc6,858c15c555f4e09054e62856add51dc6,832,832,1,1,1,1,0,0,0,,0
1211,2803,281474976832584,87abe2a8-0000-0000-0000-300300000000,1202,SABnbzd.tkape,SABnbzd.tkape,1730221687954,1730221687954,c664b3b87441ccf27e14a7d573eef031,c664b3b87441ccf27e14a7d573eef031,819,819,1,1,1,1,0,0,0,,0
1212,2805,281474976832576,87abe2a8-0000-0000-0000-300300000000,1202,Freenet.tkape,Freenet.tkape,1730221687445,1730221687445,dcfc1828344471ca40498253faf6c885,dcfc1828344471ca40498253faf6c885,904,904,1,1,1,1,0,0,0,,0
1213,2807,281474976832587,87abe2a8-0000-0000-0000-300300000000,1202,Torrents.tkape,Torrents.tkape,1730221688139,1730221688139,d8f8d3d6c929700a08adbf3cc77d6fd1,d8f8d3d6c929700a08adbf3cc77d6fd1,292,292,1,1,1,1,0,0,0,,0
1214,2809,281474976832586,87abe2a8-0000-0000-0000-300300000000,1202,Soulseek.tkape,Soulseek.tkape,1730221688067,1730221688067,9988d970c7bf01208945cbcd82ded155,9988d970c7bf01208945cbcd82ded155,1327,1327,1,1,1,1,0,0,0,,0
1215,2811,281474976832588,87abe2a8-0000-0000-0000-300300000000,1202,Usenet.tkape,Usenet.tkape,1730221688214,1730221688214,5295cbd56161b1faba0df3bfd2d7ad53,5295cbd56161b1faba0df3bfd2d7ad53,586,586,1,1,1,1,0,0,0,,0
1216,2813,281474976832575,87abe2a8-0000-0000-0000-300300000000,1202,DC++.tkape,DC++.tkape,1730221687377,1730221687377,0177863430ab2ffd7cf9d78151369fd4,0177863430ab2ffd7cf9d78151369fd4,644,644,1,1,1,1,0,0,0,,0
1217,2815,281474976832579,87abe2a8-0000-0000-0000-300300000000,1202,NewsbinPro.tkape,NewsbinPro.tkape,1730221687660,1730221687660,c264afb644534e4477f9048bb69a1c43,c264afb644534e4477f9048bb69a1c43,1350,1350,1,1,1,1,0,0,0,,0
